月份,样本,选股,各股收益,QGT均收益,模型概率,仓位决策,策略收益,策略累计,QGT累计
2025-08,OOS,HOOD / SYM / RKLB / RBLX / COIN,HOOD:+2.6% / SYM:-9.3% / RKLB:+8.2% / RBLX:-8.5% / COIN:-10.5%,-3.49,47.7,半仓 50%,-1.75,4558.9,1991.7
2025-09,OOS,RKLB / HOOD / SYM / ALAB / ETHA,RKLB:+1.4% / HOOD:+40.8% / SYM:+17.0% / ALAB:+8.3% / ETHA:-0.1%,13.48,62.5,满仓100%,13.48,5186.8,2273.6
2025-10,OOS,ALAB / RDDT / ETHA / SOFI / RKLB,ALAB:-0.2% / RDDT:-0.9% / ETHA:-13.5% / SOFI:+11.0% / RKLB:+33.0%,5.88,54.1,半仓 50%,2.94,5342.1,2413.1
2025-11,OOS,WDC / CIEN / ALAB / WBD / APP,WDC:+5.3% / CIEN:+0.6% / ALAB:-18.7% / WBD:+5.9% / APP:-9.1%,-3.2,41.8,半仓 50%,-1.6,5255.1,2332.8
2025-12,OOS,CIEN / WDC / MU / WBD / INSM,CIEN:+23.8% / WDC:+10.6% / MU:+27.1% / WBD:+20.9% / INSM:-15.0%,13.47,32.8,空仓  0%,0.0,5255.1,2660.4
2026-01,OOS,CIEN / WDC / WBD / MU / COHR,CIEN:+2.9% / WDC:+37.6% / WBD:-4.4% / MU:+39.7% / COHR:+11.1%,17.35,33.7,空仓  0%,0.0,5255.1,3139.3
2026-02,OOS,PL / HL / RVMD / MU / LITE,PL:-4.7% / HL:+9.1% / RVMD:+5.2% / MU:-2.6% / LITE:+83.2%,18.02,66.8,满仓100%,18.02,6220.3,3723.2
2026-03,OOS,LITE / SNDK / MU / FORM / WDC,LITE:-1.1% / SNDK:+5.4% / MU:-13.1% / FORM:+2.2% / WDC:+3.7%,-0.56,54.1,半仓 50%,-0.28,6202.7,3701.8
2026-04,OOS,SNDK / LITE / AAOI / FORM / VIAV,SNDK:+62.4% / LITE:+24.2% / AAOI:+80.5% / FORM:+37.5% / VIAV:+56.6%,52.23,70.5,满仓100%,52.23,9494.7,5687.5
2026-05,OOS,AAOI / SNDK / LITE / VIAV / CIEN,AAOI:-2.6% / SNDK:+60.0% / LITE:-6.4% / VIAV:-9.3% / CIEN:+10.1%,10.37,44.0,半仓 50%,5.18,9992.1,6287.7
2026-06,OOS,SNDK / AAOI / VIAV / DOCN / INTC,SNDK:+31.3% / AAOI:-0.7% / VIAV:+1.1% / DOCN:-3.1% / INTC:+27.6%,11.25,36.1,空仓  0%,0.0,9992.1,7006.4
2026-07,OOS,SNDK / MXL / MRVL / INTC / DOCN,SNDK:-22.6% / MXL:-25.6% / MRVL:-27.0% / INTC:-23.7% / DOCN:-20.5%,-23.86,29.8,空仓  0%,-0.0,9992.1,5310.8
